Age,Annual_Income,Loan_Amount,Credit_Score,Employment_Years,Debt_to_Income_Ratio,Account_Balance,Open_Accounts,Late_Payments,Loan_Duration,Loan_Purpose,Marital_Status,Dependents,Previous_Defaults,Loan_Default
56,113031.28359199104,49732.78925223996,381.82271690472317,26,0.5218566636016261,24409.00784653626,1,0,55,car,single,2,1,1
69,48702.18438617322,29181.038214779917,769.9928032721825,2,0.4688192107084782,33562.80522815752,6,0,47,education,divorced,0,0,0
46,59213.11401184928,36954.99013577959,640.2178537260284,27,0.5422731434350292,9263.859425004244,1,0,51,personal,married,0,0,0
32,131063.24770477375,7529.4301039799975,635.1973671091505,31,0.39462674910593487,45186.67740633221,9,2,30,home,divorced,1,0,0
60,55116.72910010503,33428.12795705349,806.7373078927069,34,0.31772862379525035,37951.32635637123,3,1,32,education,single,0,0,0
25,38702.67803453777,39409.232521566075,436.85735561623574,6,0.23528396404286853,4990.156618925279,2,0,27,personal,single,1,0,0
38,114393.60648507005,40033.14326836508,431.7731901717183,6,0.39155441721162487,45746.70730404748,7,2,17,car,married,4,0,0
56,78303.16265881705,39655.024350362844,582.256455082229,20,0.4090123891180766,20814.11432536339,1,0,37,personal,single,0,0,0
36,140404.80630550842,15182.718228215044,712.9746865941759,31,0.2964737818709333,23171.004400850772,7,0,12,education,divorced,4,0,0
40,108030.60853123938,48892.93149223517,545.98238952568,37,0.568297710913695,39372.299860907784,9,1,29,car,single,2,0,0
28,40850.27733499929,49783.19542812224,648.6402644408213,19,0.41997729417475793,32555.88648660923,4,1,54,home,single,4,0,0
28,143742.7880704393,8401.814382272058,548.8885983224953,7,0.5187406003007664,22438.906067031745,2,1,12,home,divorced,2,0,0
41,61026.871636829506,47140.08902652908,635.7129492678328,3,0.410195373684478,13721.608225078135,4,1,38,personal,married,1,0,0
53,70465.4988487543,18025.213743696622,752.2442664375411,25,0.25826839266585244,26327.890866521408,9,0,30,personal,single,3,0,0
57,78271.24964202504,36017.783678793414,399.26218285000783,14,0.4683095789393501,29379.807621639215,8,1,46,personal,divorced,4,1,1
41,36146.915568517594,20214.991433125946,682.4581937032913,5,0.21512726544183244,31915.685035957526,5,0,37,personal,single,3,1,0
20,89581.85066767258,48548.94455179047,733.0841566360008,31,0.3983046824993042,30648.099229693376,8,1,26,home,married,3,1,0
39,44798.218929035065,9567.673623659097,545.9112741149804,4,0.30118317150970086,31247.871318846624,7,0,17,home,divorced,1,1,0
19,78116.43920260221,27398.60676303692,477.77846738731984,5,0.17494243440218507,24311.14215306596,4,1,42,personal,single,2,1,0
41,72085.17455905012,24262.15063739336,307.44937815842115,2,0.30662028776394645,28532.504110961545,3,0,45,home,married,0,0,1
61,122740.8100111804,19671.05535250932,738.4077622837515,28,0.25514041472704474,15143.271050089083,1,0,57,education,divorced,1,0,0
47,126380.46139592773,34049.02958960669,480.36626246979347,18,0.1561110408542107,8760.370848937524,3,0,28,car,single,3,0,0
55,48409.54588669056,10897.508453975037,496.5202081744276,9,0.5119141143299293,30739.848606768905,8,1,14,personal,married,0,0,0
19,73986.14248550715,37249.80881601636,484.8033897043467,6,0.34929127821729145,3302.935901971461,9,2,54,home,married,0,1,0
38,74802.3793238198,49126.64557121543,574.306631946786,0,0.2731781361357102,4195.141214137559,9,1,31,home,married,2,0,0
50,48169.25327233021,41205.14215108836,686.3747652704924,0,0.35248212485147545,13118.483813210354,5,1,13,car,married,3,1,0
29,125814.42060614286,43700.753880929544,724.524722050281,16,0.47729155875422824,10522.023614613665,4,1,48,education,single,1,0,0
39,114867.3994002508,21183.65344305511,515.9138962217371,21,0.10914769660962478,19331.543440623253,6,1,20,car,divorced,2,0,0
61,52845.814355644165,19619.89729165484,664.706119274843,35,0.37337588028681057,19193.151826120633,7,0,34,personal,divorced,1,0,0
42,74006.62903125588,28267.175961055993,696.3763376492234,13,0.3395753916419839,6725.917331714824,6,0,44,personal,single,4,0,0
66,42696.602982781704,7057.697664302271,463.3045324225599,5,0.5465350957575368,13078.647465980514,5,4,58,personal,married,3,0,0
44,105384.79165116527,47541.11605054397,353.1418082454013,29,0.3779858293939069,1223.8893113449321,2,2,50,education,married,3,0,1
59,44564.63094583436,11470.33278572865,792.0661463544543,32,0.16866142126953368,18197.226702030428,3,0,42,car,single,2,0,0
45,148312.10023499012,45635.586762564155,672.4137844798761,19,0.2943416076425701,40025.32370059609,9,1,30,education,single,1,0,0
33,123681.84896254347,8761.199990016006,656.4607248819602,15,0.41053468602629273,14041.839436243728,7,0,53,home,married,0,1,0
32,76828.62595007941,42018.1217455352,332.3963833665879,3,0.12296690352789244,32524.05915622532,2,1,15,education,divorced,2,0,1
64,99427.67187352253,11838.313664519681,749.8301816271596,33,0.5423245486988066,5814.5037598300705,1,1,58,education,single,3,0,0
68,139361.01794596907,6715.922634116271,611.3297858473293,0,0.13389117035647716,1601.94891628677,1,1,45,personal,married,3,0,0
61,96491.91364749914,37377.02526167339,766.3364295246613,12,0.11529556392318677,25421.42958027261,1,1,26,car,single,0,1,0
69,50939.81836775462,17611.938507849274,836.0086510552188,7,0.10100778705011013,23612.71973194194,6,2,40,home,single,1,0,0
20,75444.40266973912,37152.32687529573,826.4051764841331,21,0.44187224581642737,10384.44072226202,5,2,54,education,married,3,0,0
